,Term,SNOMED_Label,SNOMED_ID
0,5FU,Fluorouracil,387172005
1,5FU,Fluorouracil,387172005
2,5FU,Fluorouracil,387172005
3,5HTP,Oxitriptan,73916008
4,5HTP,Oxitriptan,73916008
5,5HTP,Oxitriptan,73916008
6,6MP,Mercaptopurine,386835005
7,6MP,Mercaptopurine,386835005
8,6MP,Mercaptopurine,386835005
9,A1C,Ordinal level of hemoglobin A1c,443911005
10,A1C,Ordinal level of hemoglobin A1c,443911005
11,A1C,Ordinal level of hemoglobin A1c,443911005
12,A1C tests,Hemoglobin A1c measurement,43396009
13,A1C tests,Hemoglobin A1c measurement,43396009
14,A1C tests,Hemoglobin A1c measurement,43396009
15,A1Cs,Glycated hemoglobin-A1c,733830002
16,A1Cs,Glycated hemoglobin-A1c,733830002
17,A1Cs,Glycated hemoglobin-A1c,733830002
18,ABVD,"Doxorubicin, bleomycin, vinblastine and dacarbazine chemotherapy regimen",722482005
19,ABVD,"Doxorubicin, bleomycin, vinblastine and dacarbazine chemotherapy regimen",722482005
20,ABVD,"Doxorubicin, bleomycin, vinblastine and dacarbazine chemotherapy regimen",722482005
21,ABVD chemo,"Doxorubicin, bleomycin, vinblastine and dacarbazine chemotherapy regimen",722482005
22,ABVD chemo,"Doxorubicin, bleomycin, vinblastine and dacarbazine chemotherapy regimen",722482005
23,ABVD chemo,"Doxorubicin, bleomycin, vinblastine and dacarbazine chemotherapy regimen",722482005
24,AC1,Hemoglobin A1c measurement,43396009
25,AC1,Hemoglobin A1c measurement,43396009
26,AC1,Hemoglobin A1c measurement,43396009
27,ACE inhibitor,Angiotensin-converting enzyme inhibitor,734579009
28,ACE inhibitor,Angiotensin-converting enzyme inhibitor,734579009
29,ACE inhibitor,Angiotensin-converting enzyme inhibitor,734579009
30,ACE inhibitors,angiotensin converting enzyme inhibitor,372733002
31,ACE inhibitors,angiotensin converting enzyme inhibitor,372733002
32,ACE inhibitors,angiotensin converting enzyme inhibitor,372733002
33,ACL,Entire anterior cruciate ligament of knee joint,182443006
34,ACL,Entire anterior cruciate ligament of knee joint,182443006
35,ACL,Entire anterior cruciate ligament of knee joint,182443006
